date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:36:20	1074/1074	---M--	200	added ('OK')	application/javascript	etag:%2263e002f-432-5c0d93de004c2%22	https://www.greenheartcbd.io/assets/js/jquery.counterup.min.js	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/assets/js/jquery.counterup.min.js	(from https://www.greenheartcbd.io/)
04:36:20	0/0	---M--	200	added ('OK')	application/javascript	etag:%2263e0027-0-5c0d93ddffcf2%22	https://www.greenheartcbd.io/assets/js/modern_canvas.js	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/assets/js/modern_canvas.js	(from https://www.greenheartcbd.io/)
04:36:20	2961/2961	---M--	200	added ('OK')	application/javascript	etag:%2263e002e-b91-5c0d93de004c2%22	https://www.greenheartcbd.io/assets/js/spop.min.js	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/assets/js/spop.min.js	(from https://www.greenheartcbd.io/)
04:36:20	1227/1227	---M--	200	added ('OK')	application/javascript	etag:%2263e0031-4cb-5c0d93de004c2%22	https://www.greenheartcbd.io/assets/js/notification.js	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/assets/js/notification.js	(from https://www.greenheartcbd.io/)
04:36:20	13825/13825	---M--	200	added ('OK')	application/javascript	etag:%2263e0024-3601-5c0d93ddff90a%22	https://www.greenheartcbd.io/assets/js/scripts.js	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/assets/js/scripts.js	(from https://www.greenheartcbd.io/)
04:36:21	536739/536739	---M-Z	200	added ('OK')	application/javascript	etag:%22dca7de69f28da40d65353c2e9323442b%22	https://vjs.zencdn.net/7.11.4/video.min.js	C:/Users/noahm/Documents/websites/greenheart/vjs.zencdn.net/7.11.4/video.min.js	(from https://www.greenheartcbd.io/)
04:36:23	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2263e012b-2876e-5c0d93de1c214%22	https://www.greenheartcbd.io/assets/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/assets/fonts/fontawesome-webfont3e6e.eot	(from https://www.greenheartcbd.io/assets/css/font-awesome.min.css)
04:36:23	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2263e012b-2876e-5c0d93de1c214%22	https://www.greenheartcbd.io/assets/fonts/fontawesome-webfont.eot?	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/assets/fonts/fontawesome-webfontd41d.eot	(from https://www.greenheartcbd.io/assets/css/font-awesome.min.css)
04:36:23	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%2263e0126-12d68-5c0d93de1b274%22	https://www.greenheartcbd.io/assets/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/assets/fonts/fontawesome-webfont3e6e.woff2	(from https://www.greenheartcbd.io/assets/css/font-awesome.min.css)
04:36:24	98024/98024	---M--	200	added ('OK')	font/woff	etag:%2263e0121-17ee8-5c0d93de1a2d4%22	https://www.greenheartcbd.io/assets/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/assets/fonts/fontawesome-webfont3e6e.woff	(from https://www.greenheartcbd.io/assets/css/font-awesome.min.css)
04:36:25	165548/165548	---M--	200	added ('OK')	font/ttf	etag:%2263e0122-286ac-5c0d93de1a6bc%22	https://www.greenheartcbd.io/assets/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/assets/fonts/fontawesome-webfont3e6e.ttf	(from https://www.greenheartcbd.io/assets/css/font-awesome.min.css)
04:36:25	120724/120724	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2263e0127-1d794-5c0d93de1b274%22	https://www.greenheartcbd.io/assets/fonts/ionicons.eot?v=2.0.0	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/assets/fonts/ionicons28b5.eot	(from https://www.greenheartcbd.io/assets/css/ionicons.min.css)
04:36:26	67904/67904	---M--	200	added ('OK')	font/woff	etag:%2263e0128-10940-5c0d93de1b65c%22	https://www.greenheartcbd.io/assets/fonts/ionicons.woff?v=2.0.0	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/assets/fonts/ionicons28b5.woff	(from https://www.greenheartcbd.io/assets/css/ionicons.min.css)
04:36:27	447050/447050	---M--	200	added ('OK')	image/svg+xml	etag:%2263e012e-6d24a-5c0d93de1c9e5%22	https://www.greenheartcbd.io/assets/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/assets/fonts/fontawesome-webfont3e6e.svg	(from https://www.greenheartcbd.io/assets/css/font-awesome.min.css)
04:36:27	188508/188508	---M--	200	added ('OK')	font/ttf	etag:%2263e011d-2e05c-5c0d93de19b04%22	https://www.greenheartcbd.io/assets/fonts/ionicons.ttf?v=2.0.0	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/assets/fonts/ionicons28b5.ttf	(from https://www.greenheartcbd.io/assets/css/ionicons.min.css)
04:36:28	59852/59852	---M--	200	added ('OK')	font/woff2	etag:%2263e012d-e9cc-5c0d93de1c214%22	https://www.greenheartcbd.io/assets/fonts/cryptocoins.woff2	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/assets/fonts/cryptocoins.woff2	(from https://www.greenheartcbd.io/assets/css/cryptocoins.css)
04:36:28	70468/70468	---M--	200	added ('OK')	font/woff	etag:%2263e0120-11344-5c0d93de1a2d4%22	https://www.greenheartcbd.io/assets/fonts/cryptocoins.woff	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/assets/fonts/cryptocoins.woff	(from https://www.greenheartcbd.io/assets/css/cryptocoins.css)
04:36:28	336064/336064	---M--	200	added ('OK')	image/svg+xml	etag:%2263e0123-520c0-5c0d93de1aaa4%22	https://www.greenheartcbd.io/assets/fonts/ionicons.svg?v=2.0.0	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/assets/fonts/ionicons28b5.svg	(from https://www.greenheartcbd.io/assets/css/ionicons.min.css)
04:36:29	115084/115084	---M--	200	added ('OK')	font/ttf	etag:%2263e0124-1c18c-5c0d93de1ae8c%22	https://www.greenheartcbd.io/assets/fonts/cryptocoins.ttf	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/assets/fonts/cryptocoins.ttf	(from https://www.greenheartcbd.io/assets/css/cryptocoins.css)
04:36:29	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2007%20May%202021%2010:36:29%20GMT	https://www.greenheartcbd.io/assets/owlcarousel/css/owl.video.play.png	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/assets/owlcarousel/css/owl.video.play.png	(from https://www.greenheartcbd.io/assets/owlcarousel/css/owl.carousel.min.css)
04:36:29	22384/22384	---M--	200	added ('OK')	font/woff2	etag:%2263e012c-5770-5c0d93de1c214%22	https://www.greenheartcbd.io/assets/fonts/neuemachina-regular-webfont.woff2	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/assets/fonts/neuemachina-regular-webfont.woff2	(from https://www.greenheartcbd.io/assets/css/style.css?ver=1.71)
04:36:29	29264/29264	---M--	200	added ('OK')	font/woff	etag:%2263e011c-7250-5c0d93de19b04%22	https://www.greenheartcbd.io/assets/fonts/neuemachina-regular-webfont.woff	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/assets/fonts/neuemachina-regular-webfont.woff	(from https://www.greenheartcbd.io/assets/css/style.css?ver=1.71)
04:36:29	24286/24286	---M--	200	added ('OK')	image/png	etag:%2263e0101-5ede-5c0d93de16454%22	https://www.greenheartcbd.io/assets/images/banner_bg1.png	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/assets/images/banner_bg1.png	(from https://www.greenheartcbd.io/assets/css/style.css?ver=1.71)
04:36:29	2927/2927	---M--	200	added ('OK')	image/png	etag:%2263e008b-b6f-5c0d93de0954b%22	https://www.greenheartcbd.io/assets/images/wave.png	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/assets/images/wave.png	(from https://www.greenheartcbd.io/assets/css/style.css?ver=1.71)
04:36:30	9278/9278	---M--	200	added ('OK')	image/png	etag:%2263e00d1-243e-5c0d93de102ab%22	https://www.greenheartcbd.io/assets/images/about_bg.png	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/assets/images/about_bg.png	(from https://www.greenheartcbd.io/assets/css/style.css?ver=1.71)
04:36:30	7987/7987	---M--	200	added ('OK')	image/png	etag:%2263e0108-1f33-5c0d93de1700c%22	https://www.greenheartcbd.io/assets/images/rounded_shape.png	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/assets/images/rounded_shape.png	(from https://www.greenheartcbd.io/assets/css/style.css?ver=1.71)
04:36:30	6789/6789	---M--	200	added ('OK')	image/png	etag:%2263e00e0-1a85-5c0d93de125d4%22	https://www.greenheartcbd.io/assets/images/token_countdown_bg.png	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/assets/images/token_countdown_bg.png	(from https://www.greenheartcbd.io/assets/css/style.css?ver=1.71)
04:36:30	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2007%20May%202021%2010:36:31%20GMT	https://www.greenheartcbd.io/assets/images/counter_bg.png	C:/Users/noahm/Documents/websites/greenheart/www.greenheartcbd.io/assets/images/counter_bg.png	(from https://www.greenheartcbd.io/assets/css/style.css?ver=1.71)
